nlp_statements,ltl_formulas
Users can see previous transactions at any time.," ""G(transaction_viewable)"""
Log all user activities continuously.," ""G(user_activity -> log_activity)"""
Ensure important updates are communicated immediately.," ""G(important_update -> communicated)"""
Users must be informed if data is lost.," ""G(data_loss -> informed_users)"""
Do not let any unauthorized access occur.," ""G(!authorized_access -> !permit)"""
Notify users if their session is about to expire.," ""F(session_expiry -> notify_users)"""
Users should receive help whenever they request it.," ""G(help_request -> receive_help)"""
Ensure that updates are applied within 24 hours.," ""F(24_hours -> apply_updates)"""
Do not notify users about non-critical updates.," ""G(!non_critical_update -> !notify)"""
Notify users only during business hours.," ""G(business_hours -> notify_users)"""
Always provide an option to unsubscribe from notifications.," ""G(subscribe -> !unsubscribe)"""
"If a user encounters an error, log it immediately."," ""G(error_encountered -> log_error)"""
Ensure that all reports are generated weekly.," ""F(weekly -> generate_report)"""
Users must be able to access their data anytime.," ""G(data_accessible)"""
Always display a confirmation message for actions.," ""G(action -> confirmation_displayed)"""
Users should receive reminders for important deadlines.," ""G(deadline -> remind_users)"""
Do not allow duplicate entries in the database.," ""G(duplicate_entry -> !allow)"""
Notify users when their password is changed.," ""F(password_change -> notify_user)"""
Ensure compliance with all legal requirements.," ""G(!compliance -> !acceptable)"""
Users must not forget their passwords.," ""G(!forgot_password -> notified)"""
Notify users about upcoming maintenance schedules.," ""F(maintenance_schedule -> notify_users)"""
Do not display warnings for minor issues.," ""G(!minor_issue -> !show_warning)"""
Ensure all forms are submitted by the deadline.," ""G(deadline -> form_submitted)"""
Always provide feedback within 5 minutes.," ""F(5_minutes -> feedback_provided)"""
Users should never receive spam emails.," ""G(!spam_email -> !received)"""
Notify users if their session has expired.," ""F(session_expiry -> notify_user)"""
Always log user preferences.," ""G(user_preference -> log_preference)"""
Notify users about system outages immediately.," ""F(outage -> notify_users)"""
Users must always be able to reset their passwords.," ""G(!reset_password -> !allowed)"""
Ensure data integrity checks are performed regularly.," ""F(check_integrity -> integrity_ok)"""
Users should receive alerts for high-priority tasks.," ""G(high_priority -> notify_users)"""
Do not grant access without proper verification.," ""G(!verification -> !access_granted)"""
Notify users about policy changes promptly.," ""F(policy_change -> notify_users)"""
Always encrypt sensitive user data.," ""G(sensitive_data -> encrypted)"""
Users must always log out after use.," ""G(active -> logged_out)"""
Notify users if a feature is deprecated.," ""F(deprecation -> notify_users)"""
Ensure all transactions are logged.," ""G(transaction -> logged)"""
Users must be able to opt-out of notifications.," ""G(opt_out -> !notify)"""
Notify admins when storage limits are reached.," ""F(storage_limit -> notify_admin)"""
Users should always have access to help documentation.," ""G(!help_documentation -> !accessible)"""
Always validate input fields before submission.," ""G(input_field -> valid)"""
Notify users when their account is created.," ""F(account_creation -> notify_users)"""
Do not allow changes without confirmation.," ""G(change -> confirmed)"""
Ensure users can recover their accounts.," ""G(!account_recovery -> !allowed)"""
Always show progress indicators for long tasks.," ""G(long_task -> show_progress)"""
Users must be informed about their privacy rights.," ""G(privacy_rights -> informed)"""
Notify users of any new features.," ""F(new_feature -> notify_users)"""
Do not process requests without user consent.," ""G(!user_consent -> !process_request)"""
Ensure all sessions are logged for security reasons.," ""G(session -> logged)"""
Notify users when they exceed their quota.," ""F(quota_exceeded -> notify_users)"""
Always ask for confirmation before deleting.," ""G(delete_action -> confirmed)"""
Ensure the system operates under normal conditions.," ""G(!normal_conditions -> !alert_admin)"""
Notify users if their input is invalid.," ""F(invalid_input -> notify_users)"""
Users must never share their passwords.," ""G(!shared_password -> !allowed)"""
Always backup user data regularly.," ""G(user_data -> backed_up)"""
Notify users when a new version is available.," ""F(new_version -> notify_users)"""
Do not send notifications during downtime.," ""G(downtime -> !notify_users)"""
Ensure user feedback is collected regularly.," ""G(feedback_collected -> !skipped)"""
Notify users when their request is processed.," ""F(request_processed -> notify_users)"""
Always display the last login time.," ""G(user_logged_in -> last_login_time)"""
Users should not experience downtime.," ""G(!downtime -> operational)"""
Ensure all communications are encrypted.," ""G(communication -> encrypted)"""
Notify users of changes to their account status.," ""F(account_status_change -> notify_users)"""
Do not allow multiple sessions for the same user.," ""G(multiple_sessions -> !allowed)"""
Ensure all alerts are sent in real-time.," ""G(alert -> sent_in_real_time)"""
Notify users if a payment fails.," ""F(payment_failed -> notify_users)"""
Users must be able to view their transaction history.," ""G(transaction_history -> accessible)"""
Always log user logins.," ""G(user_login -> logged)"""
Notify users of any system upgrades.," ""F(system_upgrade -> notify_users)"""
Do not allow any unauthorized changes to settings.," ""G(!authorized_change -> !allowed)"""
Ensure the application runs smoothly.," ""G(!smooth_running -> !alert_admin)"""
Notify users when a system error occurs.," ""F(system_error -> notify_users)"""
Always provide a way to contact support.," ""G(contact_support -> accessible)"""
Users must be notified about data breaches.," ""F(data_breach -> notify_users)"""
Do not allow any malicious activity on the platform.," ""G(!malicious_activity -> !allowed)"""
Ensure all forms are accessible to users.," ""G(form_accessible -> !restricted)"""
Notify users when their subscription is about to expire.," ""F(subscription_expiry -> notify_users)"""
Always prompt users to verify their email.," ""G(email_verification -> prompted)"""
Users should never feel overwhelmed by notifications.," ""G(overwhelmed_by_notifications -> !allowed)"""
Notify users when their profile is updated.," ""F(profile_update -> notify_users)"""
Do not permit any data sharing without consent.," ""G(!consent -> !data_sharing)"""
Ensure users have a seamless experience.," ""G(!seamless_experience -> !alert_admin)"""
Notify users when their feedback is implemented.," ""F(feedback_implemented -> notify_users)"""
Always validate user input to prevent errors.," ""G(user_input -> validated)"""
Users must be able to update their preferences easily.," ""G(preferences_update -> easy)"""
Do not send promotional emails without user consent.," ""G(!user_consent -> !promote)"""
Ensure that support is available during business hours.," ""G(business_hours -> support_available)"""
Notify users of system maintenance beforehand.," ""F(system_maintenance -> notify_users)"""
Always give users the option to report issues.," ""G(report_issue -> accessible)"""
Users should never be denied access to their data.," ""G(!access_denied -> !allowed)"""
Notify users if there is an update to terms and conditions.," ""F(terms_update -> notify_users)"""
Do not allow changes to user settings without verification.," ""G(!settings_verification -> !allowed)"""
Ensure that important alerts are prioritized.," ""G(important_alert -> prioritized)"""
Notify users if their settings have been changed.," ""F(settings_changed -> notify_users)"""
Always log changes made to user accounts.," ""G(account_change -> logged)"""
Users must be notified of any changes to policies.," ""F(policy_change -> notify_users)"""
Do not allow any unauthorized users to view sensitive information.," ""G(!authorized_user -> !allowed)"""
Ensure the system is regularly updated for security.," ""G(!updated_security -> !alert_admin)"""
Notify users when their feedback is needed.," ""F(feedback_needed -> notify_users)"""
Always provide options to customize user experience.," ""G(customization_options -> available)"""
Users should not receive excessive alerts.," ""G(excessive_alerts -> !allowed)"""
Notify users if their account is flagged for review.," ""F(account_flagged -> notify_users)"""
Do not permit sharing of sensitive information through public channels.," ""G(!public_channel -> !sensitive_sharing)"""
Ensure that user sessions are secure.," ""G(!secure_session -> !alert_admin)"""
Notify users if they are logged out due to inactivity.," ""F(logged_out_inactivity -> notify_users)"""
Always inform users about the status of their requests.," ""G(request_status -> informed)"""
Users must be able to access their data across devices.," ""G(data_accessible -> across_devices)"""
Do not allow unauthorized access to user accounts.," ""G(!authorized_access -> !allowed)"""
Ensure that all user actions are logged for security.," ""G(action -> logged)"""
Notify users of any new updates to the application.," ""F(application_update -> notify_users)"""
Always ask users for feedback after using the application.," ""G(feedback_request -> asked)"""
Users should be able to view their recent activity.," ""G(recent_activity -> viewable)"""
Notify users when there are changes in account policies.," ""F(account_policy_change -> notify_users)"""
Do not send users unsolicited marketing messages.," ""G(!unsolicited_marketing -> !allowed)"""
Ensure users are aware of their data rights.," ""G(data_rights -> informed)"""
Notify users if there are any security threats.," ""F(security_threat -> notify_users)"""
Always validate user permissions before granting access.," ""G(user_permission -> validated)"""
Users must be notified if their accounts are compromised.," ""F(account_compromise -> notify_users)"""
Do not allow any suspicious activities on the platform.," ""G(!suspicious_activity -> !allowed)"""
Ensure the system performs optimally at all times.," ""G(!optimal_performance -> !alert_admin)"""
Notify users of significant changes to the service.," ""F(service_change -> notify_users)"""
Always keep users informed about system updates.," ""G(system_update -> informed)"""
Users should never miss critical updates.," ""G(!critical_update -> notified)"""
Notify users when their subscription is about to renew.," ""F(subscription_renewal -> notify_users)"""
Do not allow data to be shared without user consent.," ""G(!consent -> !data_sharing)"""
Ensure all software is up to date to prevent vulnerabilities.," ""G(!up_to_date -> !alert_admin)"""
Notify users of any pending actions they need to take.," ""F(pending_action -> notify_users)"""
Always provide clear instructions for users.," ""G(instructions -> clear)"""
Users must be informed about their rights and responsibilities.," ""G(rights_responsibilities -> informed)"""
Do not allow any alterations to be made without user consent.," ""G(!user_consent -> !alterations_allowed)"""
Ensure users have the ability to manage their notifications.," ""G(notification_management -> available)"""
Notify users when their feedback leads to changes.," ""F(feedback_leads_to_change -> notify_users)"""
Always display security warnings when needed.," ""G(need_security_warning -> displayed)"""
Users should be able to report problems easily.," ""G(report_problem -> easy)"""
Notify users of system performance issues.," ""F(performance_issue -> notify_users)"""
Do not permit access to sensitive areas without proper credentials.," ""G(!proper_credentials -> !allowed)"""
Ensure that users are trained to use the system effectively.," ""G(training_provided -> effective_use)"""
Notify users about maintenance downtime in advance.," ""F(downtime -> notify_users)"""
Always ensure that user data is kept private.," ""G(data_privacy -> ensured)"""
Users must be notified when their data is about to be deleted.," ""F(data_deletion -> notify_users)"""
Do not allow users to submit incomplete forms.," ""G(incomplete_form -> !allowed)"""
Ensure all communications with users are logged.," ""G(communication -> logged)"""
Notify users about new policies affecting their accounts.," ""F(policy_change -> notify_users)"""
Always inform users about the benefits of system updates.," ""G(system_update_benefits -> informed)"""
Users should never be subjected to unwanted surveillance.," ""G(!consent -> !surveillance)"""
Notify users when there is a change in their account status.," ""F(account_status_change -> notify_users)"""
Do not permit users to share their credentials.," ""G(!credentials_sharing -> !allowed)"""
Ensure all system alerts are acknowledged.," ""G(alert -> acknowledged)"""
Notify users about significant security updates.," ""F(security_update -> notify_users)"""
Always provide a way to opt-out of data collection.," ""G(opt_out_data_collection -> available)"""
Users must be informed about their rights to data access.," ""G(rights_to_data_access -> informed)"""
Do not allow users to access the system from unsecured networks.," ""G(!secured_network -> !allowed)"""
Ensure that the help system is always accessible.," ""G(help_system_accessible -> true)"""
Notify users of any changes to the terms of service.," ""F(terms_change -> notify_users)"""
Always validate user identity during sensitive operations.," ""G(sensitive_operation -> validated)"""
Users should have the ability to customize their settings.," ""G(customize_settings -> available)"""
Notify users of changes to their subscription plans.," ""F(subscription_plan_change -> notify_users)"""
Do not permit any unauthorized changes to user data.," ""G(!authorized_change -> !allowed)"""
Ensure that user feedback is collected systematically.," ""G(feedback_collection -> systematic)"""
Notify users when their device is not secure.," ""F(device_not_secure -> notify_users)"""
Always keep users informed about service outages.," ""G(service_outage -> informed)"""
Users must be aware of the consequences of their actions.," ""G(actions_consequences -> informed)"""
Do not allow users to make changes without confirmation.," ""G(!change_confirmation -> !allowed)"""
Ensure that security policies are reviewed regularly.," ""G(security_policy -> reviewed)"""
Notify users of critical updates to the platform.," ""F(critical_update -> notify_users)"""
Always provide users with the option to change their passwords.," ""G(password_change_option -> available)"""
Users must be informed about the data retention policy.," ""G(data_retention_policy -> informed)"""
Do not allow sharing of accounts between users.," ""G(!account_sharing -> !allowed)"""
Ensure that user permissions are reviewed periodically.," ""G(user_permissions -> reviewed)"""
Notify users of upcoming software releases.," ""F(software_release -> notify_users)"""
Always maintain logs of user activities.," ""G(user_activity -> logged)"""
Users should be made aware of potential risks.," ""G(potential_risks -> informed)"""
Notify users when their account is flagged for unusual activity.," ""F(account_flagged -> notify_users)"""
Do not allow any unauthorized modifications to the codebase.," ""G(!authorized_modification -> !allowed)"""
Ensure that all communications are secure and encrypted.," ""G(communication_security -> ensured)"""
Notify users about any new features that enhance security.," ""F(new_security_feature -> notify_users)"""
Always provide users with access to their logs.," ""G(log_accessible -> true)"""
Users must be informed if there are changes to the privacy policy.," ""F(privacy_policy_change -> notify_users)"""
Do not allow any unauthorized users to access the admin panel.," ""G(!authorized_user -> !allowed)"""
Ensure that system backups are performed regularly.," ""G(backup_performed -> regular)"""
Notify users of any detected vulnerabilities.," ""F(vulnerability_detected -> notify_users)"""
Always offer users the ability to provide feedback.," ""G(feedback_option -> available)"""
Users must not engage in prohibited activities on the platform.," ""G(!prohibited_activity -> !allowed)"""
Do not permit any unverified users to access sensitive information.," ""G(!verified_user -> !allowed)"""
Ensure that security updates are applied promptly.," ""G(security_update -> applied_promptly)"""
Notify users when their feedback is being reviewed.," ""F(feedback_review -> notify_users)"""
Always provide a clear process for users to report issues.," ""G(report_process -> clear)"""
Users must be notified when their data is shared with third parties.," ""F(data_shared -> notify_users)"""
Do not allow any modifications to be made without a change log.," ""G(!change_log -> !allowed)"""
Ensure that all user data is handled in compliance with regulations.," ""G(data_handling -> compliant)"""
Notify users of any significant changes to features.," ""F(feature_change -> notify_users)"""
Always ask users for confirmation before important changes.," ""G(important_change -> confirmed)"""
Users should receive alerts when there are updates.," ""G(update_alert -> notified)"""
Notify users when the system is down for maintenance.," ""F(system_down -> notify_users)"""
Do not allow users to access the platform with outdated credentials.," ""G(!up_to_date_credentials -> !allowed)"""
Ensure that the user interface is intuitive and easy to navigate.," ""G(user_interface -> intuitive)"""
Notify users of their responsibilities regarding data security.," ""F(data_security_responsibility -> notify_users)"""
Always display a help option for users.," ""G(help_option -> available)"""
Users must be informed when they have new messages.," ""F(new_message -> notify_users)"""
Do not allow any unauthorized installations on user devices.," ""G(!authorized_installation -> !allowed)"""
Ensure that updates are communicated to users regularly.," ""G(update_communication -> regular)"""
Notify users if their profile information is incomplete.," ""F(incomplete_profile -> notify_users)"""
Always keep user information confidential.," ""G(confidentiality -> maintained)"""
Users should not have to search for help resources.," ""G(!help_resources -> !search)"""
Notify users when their access is modified.," ""F(access_modified -> notify_users)"""
Do not permit any data leaks from the system.," ""G(!data_leak -> !allowed)"""
Ensure that system performance metrics are reported.," ""G(performance_metrics_reported -> true)"""
Notify users about any potential phishing attempts.," ""F(phishing_attempt -> notify_users)"""
Always provide training resources for users.," ""G(training_resources -> available)"""
